main,probe,move,version,SP,numInsertions,trialsToRun,stopError,alpha,beta,queryPercentage,deletePercentage,randomSeed,nthreads,HashAttempts,InitSize,cooloff,enfTemp,tempvar,lines,Milliseconds-Min,Milliseconds-Max,Milliseconds-Range,Milliseconds-Avg,Milliseconds-Median,Milliseconds-SD,Milliseconds-TMin,Milliseconds-TMax,Milliseconds-TRange,Milliseconds-TAvg,Milliseconds-TMedian,Milliseconds-TSD,Memusage-Min,Memusage-Max,Memusage-Range,Memusage-Avg,Memusage-Median,Memusage-SD,Barrier Gap-Max->Min,Barrier Gap-Max->Median
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570353084,1,1,67108864,0,0,1.100000,0.500000,12293.041219,12317.206861,24.165642,12304.258582,12303.573750,5.608083,12302.478091,12307.406446,4.928355,12304.042218,12303.573750,1.606406,0.062638,0.134232,0.071594,0.076958,0.062640,0.028636,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570353286,1,2,67108864,0,0,1.100000,0.500000,13152.301788,13167.418343,15.116555,13160.249216,13160.924361,4.390365,13153.620883,13165.447572,11.826689,13160.346504,13160.924361,3.124887,0.313196,0.313208,0.000012,0.313202,0.313201,0.000004,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570353491,1,1,67108864,0,0,1.100000,1.000000,12431.275647,12450.964416,19.688769,12443.689930,12444.632789,5.819243,12439.300424,12449.782707,10.482283,12444.332404,12444.632789,4.004703,0.134226,0.134231,0.000006,0.134228,0.134228,0.000002,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570353691,1,2,67108864,0,0,1.100000,1.000000,12926.032171,12944.785038,18.752867,12935.555462,12936.589045,5.430196,12929.921199,12940.190304,10.269105,12935.592177,12936.589045,3.856510,0.313192,0.313203,0.000011,0.313198,0.313199,0.000004,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570353893,1,1,67108864,0,0,1.100000,2.000000,12252.306841,12267.046799,14.739958,12259.994798,12259.509917,4.935104,12253.524783,12266.827424,13.302641,12260.074293,12259.509917,4.102843,0.134231,0.313213,0.178983,0.295305,0.313198,0.053691,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570354089,1,2,67108864,0,0,1.100000,2.000000,13471.389634,13484.744771,13.355137,13480.235178,13481.620288,3.962374,13475.026742,13484.229741,9.202999,13480.777172,13481.620288,2.647497,0.313198,0.313218,0.000020,0.313204,0.313204,0.000006,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570354296,1,1,16777216,0,0,1.100000,0.500000,14356.613670,14390.401533,33.787863,14367.719504,14364.593307,9.335001,14361.373822,14377.912181,16.538359,14366.272480,14364.593307,5.206456,0.121237,0.121242,0.000005,0.121240,0.121239,0.000002,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570354516,1,2,16777216,0,0,1.100000,0.500000,20095.086084,20126.258055,31.171971,20111.037090,20109.703449,9.104829,20102.124040,20121.131626,19.007586,20111.128345,20109.703449,6.545992,0.250552,0.250565,0.000012,0.250561,0.250555,0.000004,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570354791,1,1,16777216,0,0,1.100000,1.000000,18856.755773,18877.670708,20.914935,18864.206218,18863.437939,6.101316,18857.964708,18869.542097,11.577389,18863.454463,18863.437939,4.045644,0.250557,0.250570,0.000013,0.250562,0.250560,0.000004,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570355054,1,2,16777216,0,0,1.100000,1.000000,22159.401904,22179.021451,19.619547,22168.488364,22169.000421,5.065797,22163.750022,22172.109221,8.359199,22168.307536,22169.000421,2.802939,0.250559,0.536928,0.286370,0.479649,0.536920,0.114544,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570355348,1,1,16777216,0,0,1.100000,2.000000,20878.442412,20907.200351,28.757939,20891.986251,20891.870575,9.718409,20878.511096,20904.144217,25.633121,20891.777468,20891.870575,8.133431,0.250553,0.250569,0.000016,0.250560,0.250562,0.000004,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570355631,1,2,16777216,0,0,1.100000,2.000000,30972.889118,31052.488217,79.599099,30997.664198,30989.128218,26.920224,30972.993712,31042.793530,69.799818,30993.908081,30989.128218,20.960200,0.536899,0.536925,0.000026,0.536911,0.536911,0.000007,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570356014,1,1,262144,0,0,1.100000,0.500000,29808.533871,30840.304048,1031.770177,30723.557159,30823.179884,305.125013,30814.438304,30837.287439,22.849135,30823.341709,30823.179884,7.579807,0.117508,0.117511,0.000003,0.117509,0.117510,0.000001,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570356397,1,2,262144,0,0,1.100000,0.500000,47810.750411,48362.411481,551.661070,48266.142396,48315.650139,153.760315,48270.719906,48336.822592,66.102686,48311.032758,48315.650139,21.364661,0.470714,0.470727,0.000012,0.470721,0.470722,0.000004,0.000000,0.000000
